Transaction Name,Organization Location,Organization Industries,Organization Name,Funding Type,Money Raised,Announced Date,Number of Investors,Lead Investors,Funding Stage
Seed - Atlas Compute,"New York, New York, United States","SaaS, AI Infrastructure, Foundational AI",Atlas Compute,Seed,"$1,900,000","Oct 25, 2025",4,"Granite Capital Partners, Compass Capital Partners",Seed
Series B - Cortex,"San Francisco, California, United States",Generative AI,Cortex,Series B,"$45,700,000","Feb 27, 2026",3,Northstar Growth,Early Stage Venture
Seed - Atlasumbra Flow,"Palo Alto, California, United States",AI Infrastructure,Atlasumbra Flow,Seed,"$5,700,000","Mar 26, 2026",3,"Meridian VC, Frontier Fund",Seed
Series B - Quill Layer,"Los Angeles, California, United States",Agentic AI,Quill Layer,Series B,"$23,700,000","Jul 22, 2025",2,Lakeside Ventures,Early Stage Venture
Seed - Vela Layer,"Austin, Texas, United States","SaaS, AI Infrastructure, Generative AI",Vela Layer,Seed,"$6,900,000","Aug 8, 2025",3,Highland Fund,Seed
Series B - Vector Cloud,"Seattle, Washington, United States",Generative AI,Vector Cloud,Series B,"$35,600,000","Jun 27, 2025",2,"Summit Ventures, Sterling VC",Early Stage Venture
Seed - Brim Scale,"Boston, Massachusetts, United States","AI Infrastructure, Generative AI",Brim Scale,Seed,"$16,300,000","Mar 10, 2026",2,Sterling VC,Seed
Seed - Vector Dynamics,"San Jose, California, United States","SaaS, AI Infrastructure, Foundational AI",Vector Dynamics,Seed,"$12,200,000","Aug 19, 2025",2,"Aurora Ventures, Highland Ventures",Seed
Seed - Cobaltglide Works,"New York, New York, United States","Agentic AI, SaaS",Cobaltglide Works,Seed,"$1,300,000","Jan 22, 2026",3,Anchor Ventures,Seed
Seed - Axi Works,"New York, New York, United States","Agentic AI, Generative AI",Axi Works,Seed,"$9,800,000","Jun 15, 2025",1,"Frontier Growth, Aurora Ventures",Seed
Series A - Mosaic Core,"New York, New York, United States","Generative AI, SaaS, Agentic AI",Mosaic Core,Series A,"$15,300,000","Jan 10, 2026",2,Catalyst Partners,Early Stage Venture
Series B - Anchor Cloud,"San Francisco, California, United States","SaaS, Generative AI, Foundational AI",Anchor Cloud,Series B,"$279,600,000","Nov 15, 2025",5,"Harbor VC, Harbor Ventures",Early Stage Venture
Seed - Pylon,"Boston, Massachusetts, United States","Agentic AI, SaaS",Pylon,Seed,"$2,600,000","Jan 25, 2026",4,Stonebridge Capital,Seed
Series A - Orbit Stack,"Seattle, Washington, United States","SaaS, Foundational AI",Orbit Stack,Series A,"$19,900,000","May 11, 2026",4,Summit Group,Early Stage Venture
Seed - Bloom Systems,"Toronto, Ontario, Canada",SaaS,Bloom Systems,Seed,"$3,300,000","Dec 22, 2025",2,Harbor Growth,Seed
Seed - Voxnimbus Dynamics,"New York, New York, United States","SaaS, Generative AI",Voxnimbus Dynamics,Seed,"$6,400,000","Aug 8, 2025",4,"Granite Capital Partners, Westbrook Capital Partners",Seed
Seed - Larq Core,"Boston, Massachusetts, United States","Agentic AI, SaaS",Larq Core,Seed,"$2,900,000","Apr 23, 2026",3,"Pinnacle Growth, Bay Capital",Seed
